Linea	Cgh_arnPLAUR	Cgh_arnETS1	Cgh_tfAP2B1	Cgh_tfATF1	Cgh_tfE2F1	Cgh_tfE2F2	Cgh_tfE2F3	Cgh_tfETV4	Cgh_tfFOS	Cgh_tfFOSL1	Cgh_tfFOSL2	Cgh_tfFOXP2	Cgh_tfGATA2	Cgh_tfJUN	Cgh_tfJUNB	Cgh_tfJUND	Cgh_tfNFKB1	Cgh_tfSMAD4	Cgh_tfSP1	Cgh_tfSP3	Cgh_tfTCF7L2	Cgh_tfTFAP2A	Cgh_tfTFAP2C	Cgh_tfTP53	Cgh_MIR145	Cgh_MIR155	Cgh_MIR16_2	Cgh_MIR200B	Cgh_MIR200C	Cgh_MIR204	Cgh_MIR222	arnPLAUR	arnETS1	tfAP2B1	tfATF1	tfE2F1	tfE2F2	tfE2F3	tfETV4	tfFOS	tfFOSL1	tfFOSL2	tfFOXP2	tfGATA2	tfJUN	tfJUNB	tfJUND	tfNFKB1	tfSMAD4	tfSP1	tfSP3	tfTCF7L2	tfTFAP2A	tfTFAP2C	tfTP53	MIR145	MIR155	MIR16_2	MIR200B	MIR200C	MIR204	MIR222
22RV1_PROSTATE	2	2	2	3	2	2	2	2	2	2	2	3	2	2	2	2	2	2	3	1	2	2	2	2	2	2	2	2	3	2	0	0.1251234972398664	0.0019595937453525366	0.9222037351572058	2.0841905601259167	1.3700766971901774	2.3544761865217985	0.9410091639453572	0.41881471597521547	0.019161849664478457	0.005783615026793375	0.09827230353367056	0.936322240279803	2.7701821147575307	0.23294906348093275	0.10972293359947702	0.35571360092460286	0.6697981837439072	1.2831406076606682	1.7864055360815028	0.8496921931878744	0.30721587888626656	3.6037017880695883	0.043164771860533385	0.2986873398369095	0.03350954220000818	0.23029500411611456	0	0.14416912412948277	9.588249481795346	0.11917664053809739	0.02180729580255936
Linea	Cgh_arnPLAUR	Cgh_arnETS1	Cgh_tfAP2B1	Cgh_tfATF1	Cgh_tfE2F1	Cgh_tfE2F2	Cgh_tfE2F3	Cgh_tfETV4	Cgh_tfFOS	Cgh_tfFOSL1	Cgh_tfFOSL2	Cgh_tfFOXP2	Cgh_tfGATA2	Cgh_tfJUN	Cgh_tfJUNB	Cgh_tfJUND	Cgh_tfNFKB1	Cgh_tfSMAD4	Cgh_tfSP1	Cgh_tfSP3	Cgh_tfTCF7L2	Cgh_tfTFAP2A	Cgh_tfTFAP2C	Cgh_tfTP53	Cgh_MIR145	Cgh_MIR155	Cgh_MIR16_2	Cgh_MIR200B	Cgh_MIR200C	Cgh_MIR204	Cgh_MIR222	arnPLAUR	arnETS1	tfAP2B1	tfATF1	tfE2F1	tfE2F2	tfE2F3	tfETV4	tfFOS	tfFOSL1	tfFOSL2	tfFOXP2	tfGATA2	tfJUN	tfJUNB	tfJUND	tfNFKB1	tfSMAD4	tfSP1	tfSP3	tfTCF7L2	tfTFAP2A	tfTFAP2C	tfTP53	MIR145	MIR155	MIR16_2	MIR200B	MIR200C	MIR204	MIR222
2313287_STOMACH	2	2	2	2	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	2	2	2	2	0	1.3188857835845844	0.06857915266385334	1.598389933708747	1.4101976364814335	0.42629847086173195	1.1321545977256688	0.7906918893176244	1.4715426760025943	1.2551032072525055	0.18817701042470356	1.4478877591208137	0.8712236102020762	0.00907189765175626	0.39498565450745626	0.9456977600234526	0.41827810057547554	1.5523019309131456	1.0940729105406037	1.7114062828537457	1.1484863481796919	3.3018963424995285	1.879231180439657	1.2197261140459854	1.8146161593988426	0.03621250206763705	0.1162881363395984	0	4.304345839503298	3.417475816431834	0.07549039737965452	0.9344122669552568
Linea	Cgh_arnPLAUR	Cgh_arnETS1	Cgh_tfAP2B1	Cgh_tfATF1	Cgh_tfE2F1	Cgh_tfE2F2	Cgh_tfE2F3	Cgh_tfETV4	Cgh_tfFOS	Cgh_tfFOSL1	Cgh_tfFOSL2	Cgh_tfFOXP2	Cgh_tfGATA2	Cgh_tfJUN	Cgh_tfJUNB	Cgh_tfJUND	Cgh_tfNFKB1	Cgh_tfSMAD4	Cgh_tfSP1	Cgh_tfSP3	Cgh_tfTCF7L2	Cgh_tfTFAP2A	Cgh_tfTFAP2C	Cgh_tfTP53	Cgh_MIR145	Cgh_MIR155	Cgh_MIR16_2	Cgh_MIR200B	Cgh_MIR200C	Cgh_MIR204	Cgh_MIR222	arnPLAUR	arnETS1	tfAP2B1	tfATF1	tfE2F1	tfE2F2	tfE2F3	tfETV4	tfFOS	tfFOSL1	tfFOSL2	tfFOXP2	tfGATA2	tfJUN	tfJUNB	tfJUND	tfNFKB1	tfSMAD4	tfSP1	tfSP3	tfTCF7L2	tfTFAP2A	tfTFAP2C	tfTP53	MIR145	MIR155	MIR16_2	MIR200B	MIR200C	MIR204	MIR222
253JBV_URINARY_TRACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6966579414886507	0.8467787826333081	1.2236443317663706	0.9895365497684007	0.7302049527183341	0.606618984303413	0.536659416460664	1.666344833597471	0.34961097369271465	2.442629018994676	3.346191789008237	0.5450081590265194	0.1744916049259668	0.6729795501100166	0.5042892659146117	0.3343980757539921	1.064152585154773	0.797705850413962	1.2487018076487013	0.6408269283405937	0.7140090536376991	1.7298103265974152	0.006176467688559302	1.122380304788562	0.05837319290289887	1.386539949874041	0	1.7303324619399496	0.018485787214062747	0.0673792707997482	2.5731913338627277
Linea	Cgh_arnPLAUR	Cgh_arnETS1	Cgh_tfAP2B1	Cgh_tfATF1	Cgh_tfE2F1	Cgh_tfE2F2	Cgh_tfE2F3	Cgh_tfETV4	Cgh_tfFOS	Cgh_tfFOSL1	Cgh_tfFOSL2	Cgh_tfFOXP2	Cgh_tfGATA2	Cgh_tfJUN	Cgh_tfJUNB	Cgh_tfJUND	Cgh_tfNFKB1	Cgh_tfSMAD4	Cgh_tfSP1	Cgh_tfSP3	Cgh_tfTCF7L2	Cgh_tfTFAP2A	Cgh_tfTFAP2C	Cgh_tfTP53	Cgh_MIR145	Cgh_MIR155	Cgh_MIR16_2	Cgh_MIR200B	Cgh_MIR200C	Cgh_MIR204	Cgh_MIR222	arnPLAUR	arnETS1	tfAP2B1	tfATF1	tfE2F1	tfE2F2	tfE2F3	tfETV4	tfFOS	tfFOSL1	tfFOSL2	tfFOXP2	tfGATA2	tfJUN	tfJUNB	tfJUND	tfNFKB1	tfSMAD4	tfSP1	tfSP3	tfTCF7L2	tfTFAP2A	tfTFAP2C	tfTP53	MIR145	MIR155	MIR16_2	MIR200B	MIR200C	MIR204	MIR222
253J_URINARY_TRACT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.6940446729700791	0.4415494175622654	0.6943460636859684	0.6839710979485626	0.3705693932551135	0.22077310873112246	0.3331489837161723	0.7519216094164662	0.93814249430259	0.1982272655306024	2.4072051797658385	7.7551706039306	0.050405479594827135	0.41389690358422715	0.686816226523756	0.5397517575895674	1.2022180987367583	0.7061810673437521	0.9187730933947827	0.468132577508515	0.7830703664749453	2.3537169344740763	0.010920732399858114	1.0833837777680184	0.0824850269538663	0.30959265350722204	0	0.9755882328037241	0.010934830133685134	0.1907537750941129	0.5691021145318726
Linea	Cgh_arnPLAUR	Cgh_arnETS1	Cgh_tfAP2B1	Cgh_tfATF1	Cgh_tfE2F1	Cgh_tfE2F2	Cgh_tfE2F3	Cgh_tfETV4	Cgh_tfFOS	Cgh_tfFOSL1	Cgh_tfFOSL2	Cgh_tfFOXP2	Cgh_tfGATA2	Cgh_tfJUN	Cgh_tfJUNB	Cgh_tfJUND	Cgh_tfNFKB1	Cgh_tfSMAD4	Cgh_tfSP1	Cgh_tfSP3	Cgh_tfTCF7L2	Cgh_tfTFAP2A	Cgh_tfTFAP2C	Cgh_tfTP53	Cgh_MIR145	Cgh_MIR155	Cgh_MIR16_2	Cgh_MIR200B	Cgh_MIR200C	Cgh_MIR204	Cgh_MIR222	arnPLAUR	arnETS1	tfAP2B1	tfATF1	tfE2F1	tfE2F2	tfE2F3	tfETV4	tfFOS	tfFOSL1	tfFOSL2	tfFOXP2	tfGATA2	tfJUN	tfJUNB	tfJUND	tfNFKB1	tfSMAD4	tfSP1	tfSP3	tfTCF7L2	tfTFAP2A	tfTFAP2C	tfTP53	MIR145	MIR155	MIR16_2	MIR200B	MIR200C	MIR204	MIR222
42MGBA_CENTRAL_NERVOUS_SYSTEM	1	2	1	1	2	1	1	1	2	2	1	1	1	2	1	1	1	1	1	2	1	1	3	1	1	2	1	2	1	1	0	3.054122822670411	2.011606011037871	1.0807082258868421	0.5466509563782804	0.8924640026109407	0.5161666619062036	0.8327491434021413	0.06633907349849343	3.2441585296642517	2.1604104977810192	2.6528660584063357	0.005280256128250685	0.1396643007985159	5.653690774263515	0.9440087572669111	1.0318817976697976	0.2917000820120159	0.7957482318041876	0.6495460570503082	0.9713393921685245	1.412921473969002	0.43012120862437686	8.23669747615056	0.5583944383660607	10.943586388566777	0.44780736289528883	0	0.010758377938607715	0.010006022248133366	0.086660983985315	0.22936240785377474
