time, species_1, species_2, species_3
0, 9.99993e-11, 0, 0
0.1, 9.89914e-11, 1.00131e-12, 6.64216e-15
0.2, 9.79818e-11, 1.99099e-12, 2.65686e-14
0.3, 9.69456e-11, 2.99727e-12, 5.64583e-14
0.4, 9.59459e-11, 3.95706e-12, 9.63113e-14
0.5, 9.49563e-11, 4.89029e-12, 1.5277e-13
0.6, 9.40164e-11, 5.78034e-12, 2.02586e-13
0.7, 9.30898e-11, 6.64216e-12, 2.67347e-13
0.8, 9.22147e-11, 7.44918e-12, 3.35429e-13
0.9, 9.13213e-11, 8.26616e-12, 4.11814e-13
1, 9.0423e-11, 9.08149e-12, 4.94841e-13
1.1, 8.944e-11, 9.97818e-12, 5.81189e-13
1.2, 8.85682e-11, 1.07653e-11, 6.65876e-13
1.3, 8.76632e-11, 1.15474e-11, 7.88756e-13
1.4, 8.66884e-11, 1.24192e-11, 8.91709e-13
1.5, 8.58333e-11, 1.31515e-11, 1.01459e-12
1.6, 8.5008e-11, 1.38572e-11, 1.13415e-12
1.7, 8.41428e-11, 1.45729e-11, 1.2836e-12
1.8, 8.32179e-11, 1.53583e-11, 1.42308e-12
1.9, 8.24507e-11, 1.59644e-11, 1.58415e-12
2, 8.1647e-11, 1.66037e-11, 1.74855e-12
2.1, 8.07753e-11, 1.73095e-11, 1.9146e-12
2.2, 8.0023e-11, 1.79255e-11, 2.05077e-12
2.3, 7.92426e-11, 1.85266e-11, 2.2301e-12
2.4, 7.8497e-11, 1.90945e-11, 2.40778e-12
2.5, 7.77232e-11, 1.9704e-11, 2.57217e-12
2.6, 7.6961e-11, 2.02553e-11, 2.78306e-12
2.7, 7.61556e-11, 2.08431e-11, 3.00059e-12
2.8, 7.5415e-11, 2.13711e-11, 3.21314e-12
2.9, 7.46479e-11, 2.19507e-11, 3.40078e-12
3, 7.39189e-11, 2.24704e-11, 3.61001e-12
3.1, 7.318e-11, 2.29437e-11, 3.8757e-12
3.2, 7.24991e-11, 2.34136e-11, 4.08659e-12
3.3, 7.17834e-11, 2.39051e-11, 4.31076e-12
3.4, 7.10046e-11, 2.44398e-11, 4.55486e-12
