LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
22RV1_PROSTATE	2	2	2	2	2	2	2065.83	1524.99	17454.67	3286.42	100.539	8.06944
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
2313287_STOMACH	2	2	2	2	5	2	823.04	985.91	9303.99	6964.98	56.5386	25.3171
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
42MGBA_CENTRAL_NERVOUS_SYSTEM	1	1	1	1	2	1	261.33	237.52	2478.22	757.97	19.4858	21.8351
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
5637_URINARY_TRACT	4	4	4	5	3	5	1359.98	657.24	11946.44	2799.56	60.4485	32.5711
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
59M_OVARY	4	4	4	3	7	3	661.57	309.7	4840.18	1397.73	65.6378	33.877
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
639V_URINARY_TRACT	2	2	2	2	3	2	980.13	1007.3	9446	3847.37	35.9904	22.4236
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
647V_URINARY_TRACT	3	3	3	2	3	2	543.33	149.45	3026.97	837.17	67.2803	38.3321
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
697_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2	2	2	2	3	2	3770.84	4220.02	37504.36	148.46	134.641	12.1255
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
769P_KIDNEY	2	2	2	2	3	2	634.27	622	7971.37	10471.62	60.3494	22.0549
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
786O_KIDNEY	3	3	3	4	6	3	489.91	542.86	5347.72	6190.71	29.7547	17.3362
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
8305C_THYROID	2	2	2	3	4	3	461.2	623.71	6540.54	8281.42	38.2502	11.6695
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
8505C_THYROID	2	2	2	3	3	3	271.44	205.14	2925.79	3812.66	50.6105	22.8372
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
8MGBA_CENTRAL_NERVOUS_SYSTEM	2	2	2	3	4	3	923.24	947.23	7399.79	4198.41	4.95589	28.9277
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
A101D_SKIN	3	3	3	3	2	2	767.75	717.89	6607.53	1072	7.20015	20.2323
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
A172_CENTRAL_NERVOUS_SYSTEM	2	2	2	2	2	2	74.37	49.16	334.03	7472.19	11.3149	39.672
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
A204_SOFT_TISSUE	2	2	2	2	2	2	399.88	474.99	3604.49	2396.5	32.2207	30.6115
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
A2058_SKIN	3	3	3	3	3	3	961.92	971.11	9787.57	3622.26	11.8706	19.3243
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
A253_SALIVARY_GLAND	3	3	3	3	4	3	669.97	394.59	5603.57	1384.65	38.1421	31.9561
LINE	CNV_MIR17	CNV_MIR19A	CNV_MIR20A	CNV_MIR21	CNV_MYC	CNV_STAT3	MIR17	MIR19A	MIR20A	MIR21	MYC	STAT3
A2780_OVARY	2	2	2	2	2	2	1628.08	2578.85	17970.85	637.56	65.1324	16.7565
