LINE,CNV_MYC_1,CNV_MYC_2,CNV_MYC_3,CNV_MYC_4,CNV_MYC_5,MYC_1,MYC_2,MYC_3,MYC_4,MYC_5,MIR17_1,MIR17_2,MIR17_3,MIR17_4,MIR17_5,MIR19A_1,MIR19A_2,MIR19A_3,MIR19A_4,MIR19A_5,MIR20A_1,MIR20A_2,MIR20A_3,MIR20A_4,MIR20A_5
1-1,1,2,3,4,5,5.17934,9.43542,13.1354,16.453,19.4868,465.665,805.893,1101.67,1366.87,1609.39,10.6289,18.3946,25.1456,31.199,36.7346,333.304,576.827,788.529,978.353,1151.94
2-1,1,2,3,4,5,31.864,63.7239,95.5799,127.432,159.28,925.557,1817.12,2708.58,3599.92,4491.15,59.928,117.655,175.375,233.088,290.793,263.017,516.375,769.701,1023,1276.26
3-1,1,2,3,4,5,33.4348,65.1742,95.4527,124.455,152.33,284.493,545.496,794.484,1032.98,1262.21,14.6224,28.0375,40.8351,53.0933,64.8751,141.924,272.129,396.341,515.318,629.671
4-1,1,2,3,4,5,41.0646,82.0478,122.95,163.772,204.513,506.869,975.122,1442.45,1908.86,2374.35,7.38157,14.2008,21.0065,27.7988,34.5778,78.7373,151.476,224.071,296.523,368.832
5-1,1,2,3,4,5,100.586,201.146,301.682,402.194,502.68,3286.57,6546.94,9806.51,13065.3,16323.2,90.7444,180.766,270.765,360.742,450.696,1463.34,2915.02,4366.34,5817.31,7267.91
6-1,1,2,3,4,5,29.3253,58.438,87.3426,116.043,144.545,1081.16,2125.41,3162.19,4191.67,5213.99,45.1157,88.6908,131.955,174.913,217.574,385.096,757.043,1126.33,1493.02,1857.15
7-1,1,2,3,4,5,47.4248,94.1269,140.138,185.489,230.206,287.06,561.789,832.454,1099.23,1362.28,7.68512,15.0401,22.2863,29.4284,36.4708,178.717,349.757,518.267,684.356,848.126
8-1,1,2,3,4,5,24.9751,48.9283,71.9757,94.2129,115.72,665.438,1266.25,1844.35,2402.12,2941.58,42.4634,80.803,117.693,153.286,187.71,559.729,1065.1,1551.36,2020.53,2474.29
9-1,1,2,3,4,5,12.4577,24.9148,37.3714,49.8274,62.2828,341.701,662.37,983.024,1303.66,1624.29,21.5697,41.8117,62.0528,82.293,102.532,131.435,254.781,378.121,501.455,624.784
10-1,1,2,3,4,5,75.3129,144.313,208.364,268.398,325.088,573.068,1086.51,1563.11,2009.83,2431.67,18.6564,35.3715,50.8875,65.4306,79.1636,222.469,421.789,606.811,780.231,943.991
11-1,1,2,3,4,5,2.88471,5.36218,7.56773,9.57507,11.4296,502.85,908.973,1270.52,1599.58,1903.59,26.363,47.6549,66.6098,83.8613,99.7998,123.027,222.389,310.846,391.353,465.732
12-1,1,2,3,4,5,37.625,75.2467,112.865,150.481,188.093,1167.36,2274.29,3381.13,4487.87,5594.52,43.7338,85.2039,126.67,168.133,209.593,455.84,888.084,1320.29,1752.46,2184.6
