,CNV_MIR335,CNV_JUND,CNV_FOXP2,CNV_TFAP2C,CNV_FOSL1,CNV_MIR16-2,CNV_PLAUR,MIR335,JUND,FOXP2,TFAP2C,FOSL1,MIR16-2,PLAUR,T0_MIR335,T0_JUND,T0_FOXP2,T0_TFAP2C,T0_FOSL1,T0_MIR16-2,T0_PLAUR
NIHOVCAR3,0.932903654664473,2,3,6,4,1.9757494410192,2,5.991862,4.90110824301451,0.250961573533219,3.34766565630097,1.77820857639809,7.3207555,4.24564777363675,5.991862,4.90110824301451,0.250961573533219,3.34766565630097,1.77820857639809,7.3207555,4.24564777363675
HL60,1.05958549540545,2,2,2,2,1.03792341799395,2,6.4742737,5.09508049190141,0.0143552929770701,0.111031312388744,1.13750352374994,7.259743,4.86096279785812,6.4742737,5.09508049190141,0.0143552929770701,0.111031312388744,1.13750352374994,7.259743,4.86096279785812
HEL,0.760963942590468,3,2,2,3,1.11535270354201,4,6.2667866,6.95686979831631,1.70929063572336,0.0426443374084937,4.77557736093065,6.2846622,3.9126498648972,6.2667866,6.95686979831631,1.70929063572336,0.0426443374084937,4.77557736093065,6.2846622,3.9126498648972
HEL9217,0.741079385751843,3,2,2,3,1.17381089174468,3,5.9450927,5.47735352663456,2.61353165291793,0.0143552929770701,3.96901230751632,5.9450927,3.605257262939,5.9450927,5.47735352663456,2.61353165291793,0.0143552929770701,3.96901230751632,5.9450927,3.605257262939
MONOMAC6,0.949737023351187,2,2,2,2,1.05255819440637,2,6.0163627,5.33699741660501,0.0426443374084937,1.0496307677246,4.4535175792155,6.7174025,5.32409051603798,6.0163627,5.33699741660501,0.0426443374084937,1.0496307677246,4.4535175792155,6.7174025,5.32409051603798
LS513,1.3360740783901,2,3,2,2,0.892052175538783,2,6.731319,5.70956635383999,0,0.565597175854225,4.08915913191124,5.9886847,4.09423606984577,6.731319,5.70956635383999,0,0.565597175854225,4.08915913191124,5.9886847,4.09423606984577
A101D,2.27789303065235,3,5,4,2,1.16974981456946,3,6.4679317,3.90689059560852,0.16349873228288,5.14282184411593,6.84799690655495,6.1415963,5.65449282588346,6.4679317,3.90689059560852,0.16349873228288,5.14282184411593,6.84799690655495,6.1415963,5.65449282588346
C2BBE1,1.23165653839833,1,2,3,1,1.04369487460716,1,6.112283,4.74362267606766,0.0426443374084937,3.84699468696557,3.99004721957379,6.037602,2.86591881455221,6.112283,4.74362267606766,0.0426443374084937,3.84699468696557,3.99004721957379,6.037602,2.86591881455221
HCC827,1.10895436666608,2,3,3,3,1.10833960225662,2,6.104756,4.7076352195453,0.214124805352847,2.03562390973072,7.85168658573342,5.8715973,6.22670118455169,6.104756,4.7076352195453,0.214124805352847,2.03562390973072,7.85168658573342,5.8715973,6.22670118455169
ONCODG1,1.010661585806,2,3,5,4,1.99570710132872,2,5.8522487,5.47443604325227,0.298658315564515,3.58135124716878,1.6507645591169,5.9759054,4.64558638591361,5.8522487,5.47443604325227,0.298658315564515,3.58135124716878,1.6507645591169,5.9759054,4.64558638591361
HS294T,1.59482707174288,3,4,5,3,1.05467609778043,3,5.9241,5.17871464117544,0.150559676575381,4.07296327155522,6.14200491598488,6.2564445,5.54318652456517,5.9241,5.17871464117544,0.150559676575381,4.07296327155522,6.14200491598488,6.2564445,5.54318652456517
NCIH1581,1.27350091837458,1,2,2,2,1.23721823314812,1,6.6869206,5.15502057835857,3.43028527297778,0.422233000683048,3.15704371014558,6.444932,1.94860084749336,6.6869206,5.15502057835857,3.43028527297778,0.422233000683048,3.15704371014558,6.444932,1.94860084749336
SKBR3,2.89527422680766,3,7,7,4,1.50274477097992,4,6.0049505,5.29572302453997,0.124328135002202,7.05831649559082,0.526068811667588,6.1562347,2.94860084749336,6.0049505,5.29572302453997,0.124328135002202,7.05831649559082,0.526068811667588,6.1562347,2.94860084749336
T24,0.866336856400087,3,3,7,5,1.23216887648286,3,5.987776,4.54720302475693,0,2.58014548442338,8.42492208821069,7.706669,6.48042670519188,5.987776,4.54720302475693,0,2.58014548442338,8.42492208821069,7.706669,6.48042670519188
MCF7,1.07326028639345,2,3,4,2,1.12880790795509,2,6.0360637,5.89020346667564,0.422233000683048,5.57924050057297,0.613531652917927,6.624978,1.92219784839637,6.0360637,5.89020346667564,0.422233000683048,5.57924050057297,0.613531652917927,6.624978,1.92219784839637
MHHCALL2,0.960927838461034,1,1,1,1,0.968081222145753,1,6.2942533,5.05267672430358,0,0.0426443374084937,2.61353165291793,6.0343037,3.78450398292957,6.2942533,5.05267672430358,0,0.0426443374084937,2.61353165291793,6.0343037,3.78450398292957
NCIH1693,1.11226457225211,2,3,3,4,0.824562067919723,3,6.039577,4.40871186102943,0.0840642647884745,2.05658352836637,4.94110631094643,7.0001125,4.78031009904338,6.039577,4.40871186102943,0.0840642647884745,2.05658352836637,4.94110631094643,7.0001125,4.78031009904338
PATU8988S,1.24073928878157,3,4,6,4,1.22120042775816,2,5.683135,5.7636771418966,0.0285691521967709,0.713695814843359,3.81147103052984,6.1139503,3.92599941855622,5.683135,5.7636771418966,0.0285691521967709,0.713695814843359,3.81147103052984,6.1139503,3.92599941855622
PATU8988T,0.940891322870336,3,3,4,4,1.04022816090134,2,6.1860647,5.28095631383106,0.070389327891398,1.76128527336162,8.48228361168178,6.2986584,3.87676249078156,6.1860647,5.28095631383106,0.070389327891398,1.76128527336162,8.48228361168178,6.2986584,3.87676249078156
OPM2,1.24108334245126,4,4,4,4,0.943569048274062,4,6.411426,6.71849862770922,2.55336050333533,0.0565835283663675,0.575312330687437,6.040235,0.84799690655495,6.411426,6.71849862770922,2.55336050333533,0.0565835283663675,0.575312330687437,6.040235,0.84799690655495
GOS3,1.53421428569725,2,3,2,2,1.14155470712677,2,5.991862,6.95279947789994,1.0071955014042,3.54225804976692,5.28132732965948,5.991862,3.22496636500027,5.991862,6.95279947789994,1.0071955014042,3.54225804976692,5.28132732965948,5.991862,3.22496636500027
KPL1,1.1051942795965,4,6,7,4,1.22289454502625,4,6.044394,6.31922050252387,0.773996325111173,6.24849688595938,2.73984810269933,6.1127,2.51853513898218,6.044394,6.31922050252387,0.773996325111173,6.24849688595938,2.73984810269933,6.1127,2.51853513898218
PC14,1.31649313654243,3,4,4,4,1.52477883618359,3,6.0515895,6.1149916133336,0.584962500721156,3.66902676550963,6.36352154354655,5.9020734,5.06608919045777,6.0515895,6.1149916133336,0.584962500721156,3.66902676550963,6.36352154354655,5.9020734,5.06608919045777
PANC0213,1.08763915920751,2,2,2,2,1.63625772120023,2,5.843733,5.51096191927738,0.189033824390017,2.53356334821451,7.3560557524207,7.1626935,8.49281457256712,5.843733,5.51096191927738,0.189033824390017,2.53356334821451,7.3560557524207,7.1626935,8.49281457256712
MHHCALL3,0.994952805687713,2,2,2,2,1.00222053271699,2,6.133399,5.3215673760354,0,0.0840642647884745,0.941106310946432,6.674969,4.41006969175638,6.133399,5.3215673760354,0,0.0840642647884745,0.941106310946432,6.674969,4.41006969175638
NCIH1650,1.01543648312367,2,2,4,2,1.05965894282078,3,5.9916353,6.38836176840333,0.070389327891398,5.48510476108097,4.15785216914174,7.3537645,5.84799690655495,5.9916353,6.38836176840333,0.070389327891398,5.48510476108097,4.15785216914174,7.3537645,5.84799690655495
S117,1.07631472665008,7,7,7,7,1.03383073624796,7,6.276869,5.48800077083407,0.150559676575381,3.58736499093646,8.17407678865984,6.0386996,7.70860110981008,6.276869,5.48800077083407,0.150559676575381,3.58736499093646,8.17407678865984,6.0386996,7.70860110981008
EHEB,0.999168569213607,2,2,2,2,0.998753113085276,2,6.5201077,5.90448409790142,0.505890929729957,0.0143552929770701,3.43562859405209,6.209843,2.21412480535285,6.5201077,5.90448409790142,0.505890929729957,0.0143552929770701,3.43562859405209,6.209843,2.21412480535285
SKNMC,1.04869852629249,2,2,2,2,1.52298317089547,2,6.3172317,6.12246565817924,3.9174317553901,0.070389327891398,1.02856915219677,7.5312257,5.74685018309805,6.3172317,6.12246565817924,3.9174317553901,0.070389327891398,1.02856915219677,7.5312257,5.74685018309805
RDES,1.04463576286423,2,3,4,5,0.694140686999278,2,6.7446995,5.15704371014558,0.31034012061215,0.918386234446348,2.02147972741045,5.9224358,4.63517394667492,6.7446995,5.15704371014558,0.31034012061215,0.918386234446348,2.02147972741045,5.9224358,4.63517394667492
PANC0203,0.916686288886924,3,3,4,4,1.50378675536358,3,5.797791,4.37155886261196,0.0565835283663675,2.17951105027151,8.03380840292834,6.375213,6.10097764772482,5.797791,4.37155886261196,0.0565835283663675,2.17951105027151,8.03380840292834,6.375213,6.10097764772482
HS895T,1.00926148205079,2,2,2,2,1.00104026146786,2,6.2776127,5.45582036508492,0.475084882948783,0.214124805352847,7.18398267811283,7.466464,6.30815697511476,6.2776127,5.45582036508492,0.475084882948783,0.214124805352847,7.18398267811283,7.466464,6.30815697511476
MDAMB134VI,1.05753103335638,2,2,2,1,1.05153728099401,2,6.107688,5.79727243202997,0.6959938131099,5.70735913208088,0.526068811667588,6.0239205,2.81147103052984,6.107688,5.79727243202997,0.6959938131099,5.70735913208088,0.526068811667588,6.0239205,2.81147103052984
