LINE,ks_PLAUR,ka_JUND,ka_FOXP2,ka_TFAP2C,ka_FOSL1,ks_TFAP2C,kd_PLAUR,kr_MIR335,kr_MIR16-2,ks_FOXP2,kd_JUND,kd_MIR335,kd_TFAP2C,kd_MIR16-2,kd_FOSL1,kd_FOXP2,ks_MIR335,ks_JUND,ks_FOSL1,ks_MIR16-2,MIR335,JUND,FOXP2,TFAP2C,FOSL1,PLAUR
22RV1,0.641728,0.191751,1.03098,1.10682,0.961483,0.0954807,0.376383,0.361252,0.260409,0.267819,0.135371,0.459929,0.694387,0.568792,0.779789,0.686759,0.539786,1.04759,0.111628,0.424669,7.04177,4.36737,1.16993,0.275007,0.526069,2.98646
2313287,0.572011,0.532102,0.959457,0.828719,0.760121,0.470568,0.434452,0.362742,0.338676,0.345455,0.146453,0.384681,0.512039,0.572447,0.624312,0.618155,0.622069,1.13879,0.342962,0.422052,6.46842,4.64731,1.1177,2.75702,3.81558,2.9491
42MGBA,0.545944,0.615497,0.806261,0.664287,0.666934,0.599616,0.456936,0.36353,0.394567,0.0112441,0.133831,0.395384,0.428898,0.569211,0.54856,0.787153,0.602621,1.27092,0.435231,0.421812,6.09656,5.90521,0.0285692,5.59216,7.35429,2.96419
5637,0.562728,0.778863,0.751507,0.860422,0.717033,0.73586,0.442449,0.388821,0.347665,0.00379498,0.162832,0.486613,0.346394,0.580382,0.451983,0.793083,0.505561,1.04964,0.538549,0.421889,6.23362,3.76553,0.0143553,4.24869,9.37215,2.90766
59M,0.555561,0.625822,0.953154,0.797803,0.653726,0.21335,0.448618,0.342506,0.373136,0.0322891,0.137742,0.379545,0.637793,0.566817,0.524633,0.757171,0.633925,1.26656,0.457684,0.428351,6.68089,5.59276,0.0426443,0.669027,7.85162,3.02285
639V,0.556767,0.557299,0.834415,0.835746,0.668094,0.0278496,0.447446,0.336939,0.392262,0.00574319,0.164832,0.382619,0.791302,0.650531,0.552585,0.800149,0.618907,1.05207,0.441171,0.319036,6.47021,6.02126,0.0143553,0.0703893,6.95489,2.94254
647V,0.530068,0.59912,1.0001e-06,0.535759,0.614972,0.343396,0.460136,0.308235,0.3762,0.189793,0.127069,0.415202,0.19056,0.616291,0.577312,1.00284,0.618435,0.97355,0.419118,0.307902,5.95791,5.40224,0.378512,3.60407,6.15137,2.99763
697,0.689011,0.494701,1.40498,1.39549,1.09628,0.0125236,0.349047,0.305212,0.143184,0.0247029,0.138787,0.382597,0.876725,0.56994,0.894382,0.873148,0.629818,1.03266,0.0844506,0.425083,6.58466,4.94439,0.0565835,0.0285692,0.650765,2.98335
769P,0.525814,0.677223,0.637295,0.636958,0.581453,0.027147,0.475062,0.367526,0.451847,0.129875,0.159423,0.390647,0.771338,0.564505,0.525921,0.836988,0.601643,1.27897,0.460031,0.42527,6.16048,4.91552,0.31034,0.0703893,7.57312,3.0134
786O,0.575199,0.607087,0.866702,0.89867,0.773223,0.102891,0.430111,0.410553,0.377192,0.44334,0.111104,0.474041,1.22996,0.576041,0.507832,0.55093,0.524315,0.960006,0.494182,0.419743,6.63633,4.63981,2.41414,0.250962,7.42836,2.91467
8305C,0.577495,0.636546,1.02708,0.255512,0.744613,0.0358774,0.425055,0.258839,0.326268,0.369571,0.174503,0.255051,0.714881,0.563064,0.482357,0.524309,0.793227,1.06915,0.472703,0.419516,6.22014,4.69488,0.704872,0.15056,7.81737,2.98023
8505C,0.540867,0.61764,0.0593288,0.579886,0.712504,0.358002,0.44729,0.2329,0.366595,1e-06,0.163973,0.259427,0.384555,0.546963,0.4442,98.515,0.771644,0.947376,0.480534,0.396857,5.94883,4.84398,1.01507e-08,2.79286,8.63673,2.90226
8MGBA,0.569646,0.435575,0.96598,0.827731,0.685557,0.0828054,0.436524,0.321593,0.371556,0.131587,0.128923,0.391151,0.771651,0.646855,0.630563,0.738957,0.617978,1.2495,0.350597,0.316253,6.31958,6.39232,0.356144,0.321928,6.31234,2.93345
A101D,0.539328,0.606173,0.603489,0.623002,0.637284,0.676908,0.460558,0.413084,0.351484,0.0326372,0.163446,0.606673,0.394866,0.572292,0.494037,0.798469,0.372594,1.1293,0.502214,0.420754,6.1416,3.90689,0.163499,5.14282,6.848,2.94083
A172,0.583551,0.654103,1.10106,1.04158,0.760268,0.428301,0.424317,0.33267,0.308749,0.00574789,0.140177,0.393579,0.538823,0.568436,0.553967,0.800804,0.607365,1.20439,0.408506,0.428983,6.17273,5.62761,0.0143553,1.58976,6.90376,3.01869
A204,0.517115,0.635103,0.580197,0.572948,0.559728,0.615683,0.483022,0.402271,0.540851,0.0280578,0.083156,0.387051,0.388061,0.564538,0.504968,0.797218,0.594791,0.947426,0.331624,0.416272,6.1469,6.56163,0.0703893,3.17313,6.78699,2.94947
A2058,0.545951,0.701915,0.700666,0.744542,0.664012,0.648312,0.456739,0.417087,0.40265,0.00763225,0.115707,0.497893,0.393076,0.572466,0.531897,0.80145,0.502282,0.940981,0.470022,0.420636,6.05289,4.61471,0.0285692,3.29866,7.49201,2.93912
A253,0.53265,0.433462,0.658814,0.653514,0.594577,0.586517,0.468173,0.324376,0.448411,0.326719,0.156029,0.261522,0.420915,0.650577,0.593869,0.642276,0.840654,1.12126,0.385658,0.338462,6.42895,4.65821,1.52607,4.18031,5.88191,3.12149
A2780,0.627006,0.454264,1.203,1.2112,0.934014,0.0170718,0.391857,0.322273,0.230147,0.461373,0.124137,0.386888,0.80066,0.573702,0.856736,0.538454,0.625969,1.17658,0.098524,0.422176,6.47184,6.14323,1.7137,0.0426443,0.871844,2.94352
A375,0.525773,0.561784,0.654791,0.603874,0.587444,0.673464,0.47506,0.394315,0.437748,0.0170769,0.162723,0.370097,0.342431,0.574069,0.524625,0.800899,0.639432,1.07582,0.469928,0.418832,6.91097,5.32445,0.0426443,5.90014,7.15015,2.91834
A3KAW,0.564714,0.459145,0.0106565,1e-06,0.596039,0.0494808,0.577724,0.385708,0.505069,0.481523,0.0985264,0.410296,1.40592,0.683723,0.822179,0.818691,0.630114,1.00949,0.433301,0.35184,6.14303,6.08172,1.17632,0.0703893,3.99729,3.08756
A498,0.54522,0.726021,0.660135,0.700686,0.690473,0.522932,0.457403,0.399892,0.403898,0.135139,0.119474,0.486573,0.547363,0.570325,0.442806,0.785671,0.511149,0.928893,0.605092,0.424345,6.30305,4.41684,0.516015,1.91073,5.74846,2.97617
A4FUK,0.537608,0.327315,0.648594,0.667067,0.630605,0.01104,0.463936,0.439407,0.364053,0.547428,0.092977,0.477455,0.77286,0.574013,0.654762,0.457797,0.521855,1.10596,0.349361,0.425642,6.55796,6.12887,3.58736,0.0285692,3.20789,2.96608
A549,0.496218,0.444189,0.5813,0.707345,0.411686,0.647448,0.500628,0.368608,0.351534,0.00726331,0.0861069,0.404785,0.363164,0.582582,0.531101,0.508472,0.616628,0.879246,0.552656,0.427046,6.09339,3.14568,0.0285692,3.5656,4.98914,2.93209
A673,0.612978,0.495851,1.11059,1.11053,0.875209,0.0167251,0.401161,0.331497,0.247773,0.0167377,0.124075,0.38295,0.784401,0.57639,0.723756,0.78499,0.629794,1.21528,0.25225,0.417518,6.57833,6.15886,0.0426443,0.0426443,2.82579,2.89747
A704,0.508661,0.41131,0.529948,0.519266,0.533202,0.0184113,0.491358,0.445271,0.475699,0.396414,0.146927,0.487292,0.784691,0.573564,0.542398,0.59249,0.51288,1.12665,0.447777,0.418915,6.31506,4.02326,2.0072,0.0703893,4.38336,2.92149
ABC1,0.515954,0.318194,0.576062,0.556018,0.56498,0.692026,0.483243,0.380204,0.468899,0.643266,0.107344,0.382755,0.345277,0.685709,0.838486,0.374178,0.628196,1.19819,0.0699541,0.254355,6.56499,6.3856,3.43829,6.01279,0.505891,2.96749
ACCMESO1,0.564323,0.582135,0.887827,0.792866,0.709844,0.379941,0.440953,0.372037,0.351738,0.0113908,0.123392,0.354963,0.595344,0.570426,0.556079,0.797421,0.643052,1.09134,0.432357,0.424071,7.24641,4.78607,0.0285692,1.91456,5.88753,2.97372
ACHN,0.540442,0.56809,0.665196,0.713487,0.646241,0.373124,0.461421,0.394789,0.407262,0.257779,0.123483,0.491214,0.611514,0.569513,0.519308,0.679854,0.507046,1.16263,0.462118,0.421698,6.19338,5.46597,1.1375,1.22033,7.30615,2.96181
AGS,0.533305,0.437949,0.629804,0.597561,0.592919,0.00633303,0.466764,0.408403,0.468896,1e-06,0.138817,0.371039,0.665021,0.573373,0.590569,115.868,0.615517,1.32609,0.397166,0.426947,6.63561,5.14975,1.7261e-08,0.0285692,4.37851,2.97849
ALLSIL,0.629494,0.404475,1.08121,1.0844,0.933106,0.00573409,0.383811,0.3329,0.256948,1e-06,0.125727,0.402063,0.798882,0.576327,0.858486,266.657,0.609803,1.18784,0.105023,0.415925,6.06673,6.25758,7.50028e-09,0.0143553,0.863938,2.88673
AM38,0.534994,0.673355,1e-06,0.556561,0.66934,0.363199,0.46151,0.352397,0.321532,0.0563177,0.152989,0.392526,0.196418,0.552335,0.425938,0.905952,0.61935,1.04219,0.505123,0.408797,6.31143,4.22574,0.124328,3.69822,9.12063,2.9605
AML193,0.632223,0.474153,1.37631,1.40513,0.963509,0.0816034,0.389988,0.30054,0.274674,0.0115167,0.152315,0.390342,0.809422,0.651197,0.710705,0.80623,0.615602,1.19249,0.239092,0.313563,6.30834,5.40701,0.0285692,0.201634,2.3978,2.8891
