LINE,CNV_ATF3_1,CNV_ATF3_2,CNV_ATF3_3,CNV_ATF3_4,CNV_ATF3_5,ATF3_1,ATF3_2,ATF3_3,ATF3_4,ATF3_5,MIR17_1,MIR17_2,MIR17_3,MIR17_4,MIR17_5,TP53_1,TP53_2,TP53_3,TP53_4,TP53_5,MIR590_1,MIR590_2,MIR590_3,MIR590_4,MIR590_5
1-1,1,2,3,4,5,0.136047,0.272726,0.41004,0.547992,0.686587,494.908,493.54,492.174,490.809,489.445,17.4476,20.9457,24.4601,27.9908,31.538,4.26283,4.25101,4.23921,4.22742,4.21563
2-1,1,2,3,4,5,7.17899,14.3644,21.5517,28.7397,35.9282,1371.36,940.928,716.106,577.989,484.531,13.308,24.3351,35.3649,46.3959,57.4276,59.1954,39.7604,29.931,23.9978,20.0275
3-1,1,2,3,4,5,11.7789,28.8177,52.3413,82.2931,117.384,416.603,315.08,235.76,178.534,139.003,25.434,57.2939,101.279,157.284,222.9,9.76166,6.98054,5.00996,3.68532,2.81371
4-1,1,2,3,4,5,10.082,22.1653,34.7858,47.5992,60.5009,973.978,593.809,421.835,325.984,265.288,13.5176,27.7424,42.5996,57.684,72.8722,13.1338,7.87703,5.55485,4.27523,3.4703
5-1,1,2,3,4,5,3.8618,7.73756,11.6151,15.4937,19.3732,3285.69,3284.41,3283.12,3281.83,3280.55,12.2641,21.2557,30.2516,39.2499,48.25,39.4324,22.1261,15.375,11.7798,9.54697
6-1,1,2,3,4,5,6.44165,12.9202,19.4124,25.9118,32.4159,1604.24,1597.95,1591.7,1585.49,1579.33,3.7025,6.54906,9.40162,12.2573,15.1151,23.9082,17.0725,13.2704,10.8511,9.17688
7-1,1,2,3,4,5,45.4163,90.8327,136.249,181.666,227.082,287.134,286.989,286.844,286.698,286.553,14.9923,28.3682,41.7442,55.1202,68.4961,5.06778,3.39854,2.55648,2.04884,1.7094
8-1,1,2,3,4,5,7.00313,31.8752,63.2118,95.5168,128.095,665.446,191.376,100.853,67.7946,50.9518,15.435,59.5878,115.216,172.564,230.397,9.13776,2.6057,1.37096,0.921033,0.692006
9-1,1,2,3,4,5,3.46514,9.83783,20.3108,34.2095,50.0161,96.169,61.0388,38.1413,25.4643,18.4792,10.3699,24.029,46.4764,76.2666,110.146,15.1083,6.84218,3.60275,2.21256,1.53774
10-1,1,2,3,4,5,18.344,36.6883,55.0326,73.3769,91.7213,0.155147,0.109369,0.0844504,0.0687797,0.0580144,28.5214,55.1358,81.7503,108.365,134.979,22.473,14.7912,11.0232,8.78521,7.3026
11-1,1,2,3,4,5,10.7115,21.7714,33.0764,44.5585,56.1722,756.36,746.073,735.842,725.735,715.791,7.64051,14.5575,21.6278,28.8088,36.0722,52.5983,45.4295,39.8744,35.4693,31.9043
12-1,1,2,3,4,5,2.02526,6.92206,13.7417,21.1544,28.767,2633.15,1170.77,660.166,447.858,336.666,27.5116,74.9625,141.046,212.877,286.644,55.6351,24.4893,13.7607,9.3218,7.00214
13-1,1,2,3,4,5,1.6305,3.26104,4.89161,6.52223,8.15288,357.325,357.314,357.303,357.292,357.281,29.5686,48.5781,67.5882,86.5986,105.61,22.9189,22.9181,22.9174,22.9166,22.9159
14-1,1,2,3,4,5,284.688,569.82,855.106,1140.46,1425.86,482.322,353.604,279.084,230.496,196.314,19.5443,35.3645,51.1933,67.0261,82.861,9.48395,6.74709,5.23544,4.27696,3.61505
15-1,1,2,3,4,5,2.24079,4.48507,6.73091,8.97768,11.2251,161.387,152.733,144.956,137.929,131.551,33.4509,57.3753,81.3163,105.267,129.225,20.2476,14.6835,11.5165,9.47259,8.04446
16-1,1,2,3,4,5,3.23719,8.53909,14.692,21.1327,27.6915,250.1,133.497,86.6269,63.346,49.7348,23.9048,47.6732,75.2565,104.13,133.533,60.7189,32.1444,20.7901,15.178,11.9053
17-1,1,2,3,4,5,0.132108,0.265235,0.399234,0.533984,0.669384,366.27,366.268,366.267,366.265,366.263,23.4402,28.1643,32.9194,37.7011,42.5059,13.4827,12.7097,12.0163,11.3913,10.8255
18-1,1,2,3,4,5,1.50894,3.24803,5.19612,7.3227,9.59517,359.795,306.873,263.463,228.221,199.678,13.6888,22.9639,33.3537,44.6955,56.8153,14.0892,11.5916,9.67112,8.18992,7.03805
19-1,1,2,3,4,5,4.46866,13.5603,24.5299,36.0154,47.687,1230.4,615.934,384.345,275.778,214.271,42.909,113.97,199.709,289.48,380.706,15.1736,6.83331,4.10855,2.89845,2.23077
20-1,1,2,3,4,5,15.0561,30.1228,45.1938,60.267,75.3414,1392.67,1056.42,850.915,712.326,612.551,13.8149,26.4235,39.0357,51.6497,64.2647,39.4714,22.5765,15.8082,12.1617,9.88198
21-1,1,2,3,4,5,1.52101,3.12059,4.74133,6.37047,8.00376,781.853,513.34,380.824,302.365,250.603,24.0765,40.0666,56.2682,72.5539,88.881,10.6358,6.98316,5.18049,4.11319,3.40905
22-1,1,2,3,4,5,3.52489,7.15538,10.8895,14.725,18.6594,1017.38,1017.02,1016.65,1016.27,1015.88,42.3173,75.5923,109.817,144.971,181.032,183.443,177.082,170.983,165.141,159.549
23-1,1,2,3,4,5,0.326332,0.754618,1.322,2.07134,3.04029,232.068,196.662,163.596,133.87,108.4,20.4538,30.982,44.9296,63.3499,87.1688,47.4661,39.6119,32.4897,26.2553,21.0357
24-1,1,2,3,4,5,0.299496,0.599016,0.898561,1.19813,1.49772,395.687,395.664,395.642,395.62,395.598,21.8201,27.425,33.0303,38.636,44.2422,12.5951,11.495,10.5716,9.78547,9.10809
25-1,1,2,3,4,5,0.744051,1.50313,2.27729,3.0666,3.87107,335.183,329.267,323.445,317.717,312.084,41.3363,55.7367,70.4234,85.3972,100.659,45.3328,44.3122,43.3176,42.3484,41.4043
26-1,1,2,3,4,5,3.76057,7.65012,11.5929,15.563,19.5492,1098.04,1092.9,1087.75,1082.61,1077.49,26.3455,48.4284,70.8137,93.3536,115.985,10.5744,7.76375,6.11591,5.03901,4.28196
27-1,1,2,3,4,5,5.91838,12.059,18.3526,24.7541,31.2335,221.437,189.856,165.643,146.624,131.357,21.2934,40.2689,59.7172,79.4989,99.5214,31.9313,27.3772,23.8857,21.143,18.9416
28-1,1,2,3,4,5,8.17343,40.9981,77.5541,114.484,151.52,2472.67,566.536,304.833,207.842,157.565,29.4546,133.724,249.847,367.157,484.804,38.9442,8.28259,4.41309,2.9981,2.26862
29-1,1,2,3,4,5,0.909298,1.87352,2.88631,3.94183,5.03489,520.085,499.865,480.252,461.386,443.349,17.5874,28.794,40.5651,52.8327,65.5368,18.3248,16.4097,14.7866,13.4047,12.222
30-1,1,2,3,4,5,3.90774,7.90928,11.9257,15.9472,19.971,500.363,301.269,215.287,167.44,136.979,20.4243,37.056,53.7498,70.4645,87.1887,26.0188,15.666,11.1949,8.70687,7.12292
31-1,1,2,3,4,5,10.2499,21.9209,33.6183,45.3236,57.033,2092.22,1945.3,1817.39,1705.19,1606.01,43.5572,89.7476,136.043,182.369,228.711,59.7227,28.5903,18.7789,13.9787,11.1321
32-1,1,2,3,4,5,6.6235,13.2471,19.8708,26.4945,33.1184,737.492,737.461,737.429,737.398,737.366,11.997,22.2055,32.4142,42.623,52.8319,15.6291,15.6258,15.6225,15.6192,15.6159
33-1,1,2,3,4,5,16.5169,35.7645,56.7106,78.9993,102.405,820.672,739.897,668.313,605.932,551.842,27.4402,57.0412,89.2543,123.532,159.527,16.9696,10.4021,7.31943,5.56464,4.44547
34-1,1,2,3,4,5,30.4113,61.1257,92.0788,123.231,154.55,1238.93,1153.47,1078.49,1012.27,953.421,88.0846,172.427,257.424,342.968,428.971,23.2704,11.8098,7.89252,5.9172,4.72762
35-1,1,2,3,4,5,2.35104,4.78289,7.23296,9.69147,12.1551,1756.02,1574.23,1425.54,1302.13,1198.19,21.8667,38.0006,54.2555,70.5663,86.9112,41.9802,25.5313,18.3052,14.2563,11.6697
36-1,1,2,3,4,5,0.293083,0.586168,0.879255,1.17234,1.46544,0.0838236,0.0838231,0.0838226,0.0838222,0.0838217,17.8919,23.313,28.7341,34.1553,39.5765,6.19543,6.19539,6.19536,6.19532,6.19529
37-1,1,2,3,4,5,1.31111,2.72386,4.18466,5.67066,7.1712,70.8286,52.7599,41.7477,34.4362,29.2613,5.3623,8.64031,12.0298,15.4777,18.9594,9.95992,7.4191,5.87057,4.84241,4.11472
