,CNV_MIRLET7A1,CNV_RUNX1T1,CNV_MIR19B2,CNV_MIR23A,CNV_MIR29B2,CNV_MIR494,CNV_MIR449C,CNV_MIR92A1,CNV_FOXM1,CNV_MIR148A,CNV_MIR449A,CNV_MIR151A,CNV_MIR21,CNV_MIR125A,CNV_STAT1,CNV_AR,CNV_MIR196B,CNV_MIR17,CNV_ETS2,CNV_MIR222,CNV_MIR184,CNV_MIR373,CNV_JUN,CNV_POU2F1,CNV_MIRLET7E,CNV_MIR655,CNV_PPARA,CNV_MIR135B,CNV_ATF3,CNV_MIR92A2,CNV_MIR29A,CNV_MAZ,CNV_MIRLET7G,CNV_MIR455,CNV_MIRLET7C,CNV_PPARD,CNV_MIR590,CNV_MIR16-1,CNV_MYB,CNV_LEF1,CNV_MIRLET7I,CNV_MIR30D,CNV_MIR429,CNV_TCF7L2,CNV_MIR34C,CNV_MYBL2,CNV_MIR34A,CNV_RARB,CNV_SMAD3,CNV_HOXB4,CNV_MIR20A,CNV_STAT3,CNV_TFAP2A,CNV_ESR1,CNV_MIRLET7B,CNV_POU2F2,CNV_WT1,CNV_ETS1,CNV_MIR30A,CNV_RELA,CNV_NFIC,CNV_E2F1,CNV_MIR24-2,CNV_MIR371A,CNV_SP1,CNV_MYC,CNV_MIR223,CNV_MIR19B1,CNV_TP53,CNV_MIR155,CNV_MIR26A2,CNV_MIR29B1,CNV_NFKB1,CNV_MIR19A,CNV_MIR196A1,CNV_MIR26A1,CNV_MIR106B,MIRLET7A1,RUNX1T1,MIR19B2,MIR23A,MIR29B2,MIR494,MIR449C,MIR92A1,FOXM1,MIR148A,MIR449A,MIR151A,MIR21,MIR125A,STAT1,AR,MIR196B,MIR17,ETS2,MIR222,MIR184,MIR373,JUN,POU2F1,MIRLET7E,MIR655,PPARA,MIR135B,ATF3,MIR92A2,MIR29A,MAZ,MIRLET7G,MIR455,MIRLET7C,PPARD,MIR590,MIR16-1,MYB,LEF1,MIRLET7I,MIR30D,MIR429,TCF7L2,MIR34C,MYBL2,MIR34A,RARB,SMAD3,HOXB4,MIR20A,STAT3,TFAP2A,ESR1,MIRLET7B,POU2F2,WT1,ETS1,MIR30A,RELA,NFIC,E2F1,MIR24-2,MIR371A,SP1,MYC,MIR223,MIR19B1,TP53,MIR155,MIR26A2,MIR29B1,NFKB1,MIR19A,MIR196A1,MIR26A1,MIR106B
1-1,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,1.5,1.5,1.0,1.0,1.0,1.0,0.5,1.0,1.5,0.5,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,0.5,2.0,2.0,1.0,1.5,2.0,1.0,1.0,1.0,1.0,1.5,0.5,1.0,1.0,1.5,1.0,1.0,0.5,0.5,1.5,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,0.5,1.0,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,0.5,1.0,1.0,1.5,1.5,1.0,0.5,1.0,1.0,1.5,4619.039735,0.040968155681800004,21.358860999999997,634.921377,524.620391,0.10626300000000001,0.21252600000000002,2489.7419019999998,1.14804138127,80588.89675,0.956367,829.595178,98263.62020599999,1313.835633,4.1904174243300005,9.89271077555,11.901455,246.74266699999998,2.05837948286,3.2941529999999997,2.550312,0.10626300000000001,29.399004774899996,1.3456418003100001,1739.3126530000002,0.0,0.184568994892,0.0,0.278428451824,1916.984375,2917.344182,51.3540140744,263.851009,73.53399,308.26894,15.448407501300002,6.375780000000001,163.11369299999998,13.2327601002,0.48465720091200004,137.610575,8284.475381,103.50015400000001,0.22472299378000002,7.863461,2.4702940113900005,50.474921,1.00277393248,5.085119099630001,7.712747956219999,176.609093,10.3755998634,19.1864240205,46.4873619283,2766.025681,0.26336737246999997,0.00385192585984,1.7839686256099998,75549.90567000001,18.5540211974,13.781876292,10.2855884838,109.663408,0.0,10.121625951,5.527354448990001,18.702287,23.909173000000003,21.0917602547,30.497479,748.410253,408.79373,8.88745859452,5.631939,197.86169099999998,738.634057,189.785704
2-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,5168.47808,0.6954420460690001,130.722662,2482.4973449999998,698.009686,1.233233,0.0,3958.6768399999996,35.3465803338,126530.904194,1.233233,1846.149293,288009.155519,427.931733,247.083877602,0.8023727067059999,382.302125,1371.354718,15.8331973581,134.42236,4.932931,0.0,16.4425070075,3.21184024166,652.3800769999999,1.233233,7.67847422033,133.189127,7.17898543243,3755.1934509999996,5633.406793,16.4347747365,789.268903,191.15106200000002,2540.459281,18.615086382,59.195168,552.488232,1.01755393438,2.8085901196200003,699.2429179999999,14040.353839,198.55045800000002,9.569989827,7.399396,62.1463039646,273.777651,1.85660946863,4.91276307127,0.828673740158,389.701521,42.5867312167,10.0009284932,1.73529701975,11180.4873,3.38651201243,1.0402502147900001,36.0846555963,76042.359075,27.9396549047,11.0949768222,11.5509661154,752.271923,0.0,14.740064137300001,47.7945792157,308.308165,149.221152,13.3080196515,2279.013956,614.1498650000001,632.648355,13.076622136,88.79275200000001,81.39335600000001,612.916632,372.436263
3-1,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,0.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,12676.969972,0.8699362261779999,40.936114,2136.550282,203.106106,0.0,0.0,4014.2583640000003,5.17094543543,27935.749194,4.723398,4641.210701,216984.70878699998,1240.364268,30.349099173200003,30.2589604405,264.825171,416.603688,10.632689168099999,24.876562,19.523378,0.0,77.50906016430001,2.90761323602,1439.376763,2.8340389999999998,1.58742494057,4.723398,11.7789404338,3730.539601,4258.615478,23.9684755607,561.769448,53.216949,3331.255038,8.161137628139999,9.761689,128.161528,15.8098825702,2.51986899089,475.80360700000006,11017.48287,144.53597299999998,8.900228743260001,11.021262,18.921831413499998,107.378577,3.6870870102699995,8.250986629380002,0.42914235347499996,207.82950400000001,65.9533480057,23.501234915799998,12.0467123933,20725.010077000003,0.828646323245,0.0,10.920942278699998,66571.25403099999,16.081567770699998,22.9885519619,6.94892752496,455.020657,0.0,26.5683350452,49.500278925299995,60.144599,48.178658,25.434048929,93.208384,646.790609,160.280633,14.5509676741,21.412737,1359.393894,591.0545139999999,478.95253899999994
4-1,1.0,1.5,1.0,1.0,1.5,0.5,0.5,1.0,1.0,1.0,0.5,2.0,1.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,0.5,1.0,1.5,1.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.5,1.0,1.0,0.5,1.5,1.0,1.5,1.0,1.5,1.0,1.5,1.0,0.5,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,5926.185754,0.440119826805,35.076832,4294.663375,304.898614,0.8994059999999999,0.0,11621.224181,15.2375852481,16927.719241,0.8994059999999999,4784.839613,62635.529233,3476.2039670000004,58.951233172600006,5.498490493119999,98.93465400000001,741.110497,8.82506751625,70.153664,0.0,0.0,48.2483011361,3.4348768609299998,2005.6752510000001,0.0,0.585598441409,0.0,16.0122609444,10602.197248999999,3361.080007,21.906024173600002,393.939803,731.2170309999999,1305.038022,10.890827973599999,9.893464999999999,420.92198099999996,21.0004089105,7.080862013239999,437.111288,9048.923186,87.24237600000001,5.73056549895,9.893464999999999,34.9588910898,160.993664,1.05322762108,8.877504714530001,0.206455652775,115.12396100000001,36.462422418,13.330522238299999,35.0634940254,15317.782605,0.358945750465,0.0113151551783,13.1912155041,65966.029438,16.8134052768,15.338810801400001,14.3107057625,852.636833,0.0,24.8673695905,61.5663965333,103.43168299999999,41.372673,20.4988611217,309.395644,577.418615,126.81623799999998,6.84291107377,10.792871,2.6982180000000002,551.335843,1166.529507
5-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.0,1.5,1.0,1.0,1.0,1.0,1.5,1.0,1.0,0.5,1.5,1.0,1.0,1.0,1.0,1.5,1.5,0.5,0.5,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,0.5,1.5,0.5,1.0,1.5,1.0,1.0,1.5,1.0,11186.617775,0.105198127445,134.811956,11290.419717,495.017752,0.652842,0.0,14606.206279,26.039397672800003,32855.926006,0.163211,3505.110858,340410.96102800005,1063.643484,68.5438639731,0.0804963536187,204.339672,3286.571864,5.93919170554,89.276199,0.9792639999999999,0.0,14.0292634947,2.44545374416,2040.458929,0.9792639999999999,1.67353911671,26.440116999999997,3.8539941087300003,13128.334291,4738.003735,24.260706576799997,573.195629,1196.823334,909.083045,14.7989322764,59.245447999999996,220.497521,3.6817837327099996,3.2092771089200003,678.792888,8893.182416,559.4859389999999,17.6746512614,5.875582,145.786787503,94.98857,1.7759159433,4.83490103771,0.143874946652,1463.346245,30.0167659302,8.14696859722,0.0899624907349,14156.887496000001,0.768552427116,0.0801352900341,15.2954144018,35237.821511,24.608742110100003,13.6859926568,19.6730760359,1710.7735149999999,0.0,12.2199014611,100.58567506,1029.695679,180.837345,6.1229909225600005,696.582843,692.502578,480.32879800000006,27.5813808735,90.745094,111.30963,715.8416940000001,1041.7732640000002
6-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,1.5,2.0,1.5,0.5,1.0,1.0,0.5,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,6743.308393000001,0.050055781456399995,113.56396000000001,6163.534493,132.690521,0.0,0.0,8006.856872,27.073191968299998,181886.42886800002,0.0,3087.7442969999997,253206.986455,750.717545,29.757696952399996,0.11542620041200001,101.609859,1604.240359,4.643039250819999,57.379684999999995,2.39082,0.0,37.267653566999996,2.88575237694,1534.906573,1.19541,1.5144571139200003,88.460348,6.44162443673,7177.242261,2268.8883760000003,15.8358984321,846.3503529999999,999.3628460000001,1735.7354699999999,20.4139413163,23.908202,772.234927,4.2709396042500005,1.4050105377700002,552.279468,8020.006383,185.288566,7.31652103014,1.19541,15.3796845338,62.161325,2.8315165003200002,3.00586603097,0.0565745512022,571.406029,84.0542061454,18.4467229528,0.041912811474,10892.576862,0.677425919251,0.0387583130683,3.61609530996,70027.123855,13.529969196600002,16.2903528511,23.432152663000004,690.94704,0.0,21.9144311514,43.90805754270001,82.483297,114.75936999999999,3.70248977367,398.071564,521.198805,111.17313999999999,12.8619093351,66.942966,537.934547,502.07224299999996,2173.255568
7-1,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,0.5,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,8992.774045999999,0.531187793619,23.356679999999997,1091.435075,206.744294,0.9041299999999999,0.0,2250.378491,2.6821111957499997,19334.208028,3.0137650000000002,936.075478,276878.98090100003,653.9870530000001,24.402716461399997,8.48323239805,103.673524,287.06113700000003,11.1073093028,14.466073000000002,26.822509999999998,0.0,229.261272635,1.29784705633,809.798715,3.164453,0.376343988108,3.767207,68.1243116258,1911.63128,3145.61745,34.5793011421,239.594335,27.123887,3006.381497,8.9184531742,4.068583,91.01571,22.01610794,4.9944342149,461.40745499999997,7093.800579000001,70.974171,6.01835788729,29.836276,7.92171594503,65.54939399999999,1.6049521459799998,4.88781195236,3.2378275127599996,178.71627800000002,27.5152026129,10.4178751065,11.0549660902,16453.349853,1.2827994462799999,0.00401844825442,7.20161406398,77756.046856,17.4595369535,24.7679450658,6.30608197174,221.963809,0.0,11.6490559308,47.42470997,64.795952,27.726640000000003,21.6802419747,263.40308,813.565922,153.099273,9.07884218528,7.6851009999999995,386.967455,774.2362860000001,248.03287799999998
8-1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14740.111669,0.578592270618,98.00582299999999,1352.9103699999998,402.773475,1.612527,0.0,3091.393924,2.66032216618,52028.908672000005,0.0,1032.375785,379952.451946,1060.505427,103.10827912799999,26.463058029499997,76.68463,665.436249,12.4491886274,27.412963,4.837582,0.0,64.80373633,1.9283066342700002,1271.208989,3.225055,0.6446002598439999,1.075018,7.00323559258,2796.838945,4541.414269,29.029676775100004,444.52001399999995,39.238163,2745.5964120000003,11.254898951800001,9.137654,177.01965900000002,18.2120488018,4.47883463672,498.987602,5732.355234000001,151.577562,6.1902827806800005,14.333576,4.58967702692,254.779307,1.55469401331,11.376517798800002,1.13210028952,559.726128,35.9981582968,22.792137619000002,18.1036432215,22747.384525999998,1.8948119237,0.7022176374950001,19.0142948796,53854.468698000004,19.981265200899998,20.3201958903,7.75584078055,322.863791,0.0,14.982570626600001,24.9750273656,229.33721,105.530951,15.435271549600001,695.895097,866.2854769999999,335.584839,14.766555547000001,42.463218,101.05170799999999,830.2723679999999,347.947548
9-1,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,8939.964548,1.7417717651700002,33.052932,2706.30577,192.576001,0.155178,0.0,1662.7331609999999,4.28381199579,113063.682447,0.0,3231.8939379999997,159093.691716,505.570195,25.179149671199998,8.469053339550001,78.054576,341.702139,33.624895359,14.276384,623.195182,0.0,90.37394005459998,2.51051433254,429.377756,1.086247,1.30006659097,0.77589,6.10300670615,1560.315626,6778.799384,14.531338681700001,454.82696200000004,45.156822,4379.125506,11.240446408199999,10.086575,137.332604,13.0126073796,2.6769916176099997,419.75671500000004,6090.119051,177.83408300000002,9.769938219339998,10.086575,7.00856770704,67.036932,2.5214567788799997,5.98648054669,1.7529663133900002,131.43583600000002,25.100372181999997,22.540537615399998,4.2660969431,17855.876493,1.30098339278,0.051781348371400006,36.5903649031,19821.827628,15.810142815899999,24.9168928415,5.40639670898,636.850853,0.0,25.339359210900003,12.457714021300001,78.830466,38.484165000000004,15.941617941099999,372.58257799999996,1689.423791,165.57501499999998,14.9008534341,21.569754,1624.248996,1717.200668,473.137976
10-1,1.0,1.0,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.5,1.0,1.0,0.5,1.5,1.5,1.0,1.0,1.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,24702.665808,0.43101977881700004,153.124425,2625.995881,317.513175,2.112061,0.0,4043.5408420000003,7.332206333010001,35632.933649,0.0,1382.6959539999998,92747.992046,1899.798897,24.954482667199997,24.5183552677,285.83225899999996,573.07256,10.1475125743,19.71257,1.7600509999999998,0.0,95.8177448615,3.1027883817000004,2209.9198579999997,1.056031,0.992164176285,0.70402,28.8875548779,3679.914335,3165.627474,38.8329545039,1005.34105,572.3685389999999,1320.0381439999999,11.1756611522,17.248498,389.67526000000004,61.7268910788,2.02935029635,417.132053,5980.300807,162.628699,3.8891480020199998,5.632162999999999,8.29986856913,76.386207,0.779305349489,7.5011353643800005,3.40317835144,222.470429,43.995237159,16.3938925148,103.73777144,44142.075529,0.871007595678,0.006969992916670001,10.002976706,84885.844861,20.6953280979,41.3007001118,4.375156168959999,521.327064,0.0,26.3799909048,75.3132980838,51.393485,145.380201,39.4543408416,161.924679,1058.494586,233.734754,17.7769240468,18.656539000000002,3173.371698,1043.006139,468.87754900000004
